iter	Passed	Remaining
0	143	143019
1	145	72492
2	147	49029
3	149	37263
4	151	30171
5	153	25491
6	155	22067
7	157	19498
8	159	17511
9	160	15931
10	162	14646
11	164	13569
12	166	12674
13	168	11898
14	171	11242
15	173	10647
16	175	10124
17	176	9645
18	178	9223
19	180	8850
20	182	8527
21	184	8219
22	186	7937
23	188	7680
24	190	7437
25	192	7207
26	194	6995
27	195	6796
28	198	6631
29	200	6468
30	201	6310
31	203	6162
32	205	6023
33	208	5914
34	210	5797
35	212	5699
36	214	5588
37	216	5482
38	218	5379
39	220	5286
40	222	5194
41	224	5109
42	226	5031
43	228	4955
44	229	4876
45	231	4802
46	233	4731
47	235	4664
48	237	4600
49	238	4538
50	241	4489
51	243	4433
52	244	4375
53	246	4321
54	248	4268
55	250	4219
56	252	4169
57	253	4123
58	255	4076
59	257	4033
60	259	3991
61	261	3951
62	262	3910
63	264	3872
64	266	3837
65	268	3803
66	270	3767
67	272	3737
68	274	3705
69	276	3679
70	278	3647
71	280	3616
72	282	3585
73	284	3555
74	286	3528
75	287	3499
76	289	3472
77	291	3444
78	293	3417
79	295	3394
80	296	3368
81	298	3343
82	299	3309
83	301	3288
84	303	3270
85	305	3248
86	307	3228
87	309	3206
88	311	3184
89	312	3163
90	314	3146
91	317	3131
92	319	3112
93	320	3092
94	322	3075
95	324	3057
96	326	3038
97	328	3021
98	331	3013
99	333	2997
100	334	2980
101	336	2964
102	338	2948
103	340	2933
104	342	2916
105	344	2902
106	346	2888
107	348	2876
108	350	2861
109	351	2847
110	353	2832
111	355	2819
112	358	2810
113	359	2797
114	361	2784
115	363	2772
116	365	2756
117	367	2745
118	369	2732
119	371	2721
120	373	2710
121	374	2698
122	376	2687
123	378	2675
124	380	2664
125	382	2652
126	383	2639
127	386	2629
128	388	2620
129	390	2611
130	392	2603
131	394	2595
132	396	2585
133	398	2576
134	401	2570
135	403	2564
136	406	2557
137	408	2550
138	410	2542
139	412	2534
140	414	2525
141	415	2512
142	418	2511
143	421	2504
144	424	2500
145	426	2496
146	429	2490
147	432	2487
148	434	2480
149	437	2477
150	440	2474
151	453	2530
152	460	2547
153	463	2544
154	466	2543
155	469	2542
156	472	2539
157	477	2545
158	482	2552
159	485	2547
160	487	2539
161	491	2544
162	494	2540
163	497	2536
164	500	2530
165	502	2526
166	506	2525
167	509	2521
168	513	2523
169	516	2521
170	519	2519
171	522	2514
172	525	2513
173	529	2511
174	531	2505
175	533	2499
176	536	2493
177	538	2487
178	540	2481
179	543	2476
180	548	2483
181	553	2486
182	556	2483
183	559	2480
184	563	2480
185	566	2479
186	569	2476
187	572	2473
188	575	2469
189	578	2464
190	582	2465
191	585	2463
192	588	2459
193	594	2468
194	600	2479
195	604	2478
196	615	2507
197	618	2504
198	623	2508
199	627	2509
200	630	2506
201	633	2502
202	636	2499
203	639	2494
204	641	2489
205	644	2484
206	647	2478
207	650	2475
208	653	2474
209	659	2479
210	666	2490
211	676	2514
212	681	2519
213	685	2518
214	692	2529
215	696	2527
216	704	2542
217	712	2554
218	720	2569
219	725	2571
220	731	2579
221	736	2580
222	740	2581
223	745	2582
224	750	2584
225	755	2589
226	760	2588
227	765	2591
228	769	2589
229	772	2586
230	776	2583
231	780	2582
232	783	2579
233	789	2583
234	794	2587
235	799	2587
236	803	2586
237	806	2583
238	810	2581
239	813	2577
240	817	2574
241	820	2571
242	824	2566
243	827	2565
244	831	2561
245	837	2565
246	843	2572
247	848	2571
248	851	2568
249	856	2570
250	860	2567
251	863	2562
252	865	2556
253	868	2551
254	872	2548
255	875	2544
256	878	2540
257	882	2537
258	885	2534
259	890	2534
260	893	2529
261	896	2525
262	899	2521
263	903	2519
264	906	2515
265	909	2509
266	912	2504
267	915	2501
268	918	2496
269	921	2490
270	924	2486
271	927	2481
272	931	2480
273	935	2477
274	938	2474
275	942	2472
276	948	2476
277	952	2474
278	956	2472
279	960	2470
280	964	2468
281	968	2465
282	971	2461
283	974	2456
284	978	2453
285	980	2448
286	983	2443
287	986	2439
288	990	2436
289	993	2432
290	998	2433
291	1005	2437
292	1008	2433
293	1012	2431
294	1015	2427
295	1021	2429
296	1024	2425
297	1028	2422
298	1032	2420
299	1035	2415
300	1038	2412
301	1041	2407
302	1044	2402
303	1048	2399
304	1051	2396
305	1054	2392
306	1057	2387
307	1060	2382
308	1063	2377
309	1065	2372
310	1068	2367
311	1071	2362
312	1074	2359
313	1078	2355
314	1081	2350
315	1083	2345
316	1086	2339
317	1088	2334
318	1090	2328
319	1093	2324
320	1096	2319
321	1099	2315
322	1102	2310
323	1105	2305
324	1107	2300
325	1109	2294
326	1112	2289
327	1114	2283
328	1117	2278
329	1119	2273
330	1122	2268
331	1124	2263
332	1126	2257
333	1129	2251
334	1132	2248
335	1135	2243
336	1138	2239
337	1140	2233
338	1143	2228
339	1145	2223
340	1147	2218
341	1150	2213
342	1153	2209
343	1156	2205
344	1159	2201
345	1162	2197
346	1165	2192
347	1167	2187
348	1170	2182
349	1172	2177
350	1174	2172
351	1177	2167
352	1181	2164
353	1183	2159
354	1186	2155
355	1188	2149
356	1190	2144
357	1192	2139
358	1196	2137
359	1199	2132
360	1202	2127
361	1204	2122
362	1206	2117
363	1209	2112
364	1212	2108
365	1214	2104
366	1217	2099
367	1219	2094
368	1222	2089
369	1226	2088
370	1229	2083
371	1231	2078
372	1233	2074
373	1236	2069
374	1239	2065
375	1243	2063
376	1245	2057
377	1247	2053
378	1249	2048
379	1252	2042
380	1254	2038
381	1257	2034
382	1259	2029
383	1262	2025
384	1264	2020
385	1267	2015
386	1270	2011
387	1272	2007
388	1275	2002
389	1277	1998
390	1280	1993
391	1282	1989
392	1285	1985
393	1288	1981
394	1291	1977
395	1293	1973
396	1296	1969
397	1300	1966
398	1303	1962
399	1305	1958
400	1307	1953
401	1310	1949
402	1313	1945
403	1316	1941
404	1318	1937
405	1321	1932
406	1323	1928
407	1326	1924
408	1328	1919
409	1331	1915
410	1333	1911
411	1336	1907
412	1339	1903
413	1341	1898
414	1344	1895
415	1347	1891
416	1349	1887
417	1352	1883
418	1355	1879
419	1358	1875
420	1362	1873
421	1364	1869
422	1367	1865
423	1370	1861
